,UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,Creator,Subjects,Publisher,PublicationYear
0,Physical,Horizon,BOOK,2005,9,2,Pacific Coast highway travelers guide,,"Automobile travel Oregon Guidebooks, Automobile travel Washington State Guidebooks, Automobile travel California Guidebooks, Pacific Coast Highway Tours, Pacific Coast Wash Tours, Pacific Coast Or Tours, Pacific Coast Calif Tours",,
1,Physical,Horizon,BOOK,2005,9,2,Ariel and Emily,,"Best friends Fiction, Friendship Fiction, Parks Fiction",,
2,Physical,Horizon,BOOK,2005,9,1,Mabon : celebrating the autumn equinox / Kristin Madden.,"Madden, Kristin, 1964-","Autumn festivals, Harvest festivals, Autumnal equinox, Neopaganism","Llewellyn Publications,",2002.
3,Physical,Horizon,BOOK,2005,9,1,Dr Dog,,"Grooming, Cleanliness, Health, Hygiene Juvenile literature, Health behavior Juvenile literature",,
4,Physical,Horizon,BOOK,2005,9,1,<Unknown Title>,,"Reproduction, Spanish language materials, Sex instruction for children",,
5,Physical,Horizon,SOUNDDISC,2005,9,13,hitchhikers guide to the galaxy,,"Humorous fiction, Science fiction, Prefect Ford Fictitious character Fiction, Dent Arthur Fictitious character Fiction",,
6,Physical,Horizon,SOUNDDISC,2005,9,7,Otis! [sound recording] : the definitive Otis Redding.,"Redding, Otis, 1941-1967","Soul music, Popular music 1961 1970","Rhino Records,",p1993.
7,Physical,Horizon,BOOK,2005,9,8,No more training wheels,,Bicycles and bicycling Fiction,,
8,Physical,Horizon,SOUNDDISC,2005,9,5,<Unknown Title>,,"Orchestral music, Boleros Music, Suites Orchestra, Pavans, Ballets Excerpts",,
9,Physical,Horizon,BOOK,2005,9,1,NetResults 2 best practices for Web marketing,,Internet marketing Case studies,,
10,Physical,Horizon,VIDEOCASS,2005,9,3,Harvey girls,,"Western films, Video recordings for the hearing impaired, Feature films, Musical films, Fred Harvey Firm Drama, Waitresses Southwest New Drama, Restaurants Southwest New Drama",,
11,Physical,Horizon,BOOK,2005,9,3,If the Buddha got stuck a handbook for change on a spiritual path,,Religious life Buddhism,,
12,Physical,Horizon,BOOK,2005,9,1,Ballet 101 a complete guide to learning and loving the ballet,,"Ballet, Ballet History",,
13,Physical,Horizon,VIDEODISC,2005,9,6,Ying huang 3 zhou nian ci shan yan chang hui EEG 3rd anniversary concert,,"Music videos, Karaoke, Songs Chinese, Popular music China Hong Kong",,
14,Physical,Horizon,SOUNDCASS,2005,9,4,Late for the wedding,,"Romantic suspense fiction, Regency fiction, England Fiction, Weddings Fiction, Country homes Fiction",,
15,Physical,Horizon,BOOK,2005,9,5,Why white kids love hip hop wankstas wiggers wannabes and the new reality of race in America,,"Music and race, Rap Music History and criticism, Rap Music Political aspects United States",,
16,Physical,Horizon,BOOK,2005,9,2,"Australia, the Pacific, and Antarctica / Marytn Bramwell.","Bramwell, Martyn","Oceania Juvenile literature, Oceania Maps for children, Australia Juvenile literature, Australia Maps for children, New Zealand Juvenile literature, New Zealand Maps for children, Antarctica Juvenile literature, Antarctica Maps for children","Lerner Publications,",c2000.
17,Physical,Horizon,VIDEODISC,2005,9,2,"Nazrah [videorecording] : a Muslim woman's perspective / Tasveer Films ; written, directed & produced by Farah Noushee ; writer, Malina Masood.",,Muslim women Northwest Pacific Attitudes,"Arab Film Distribution,",c2003.
18,Physical,Horizon,VIDEOCASS,2005,9,5,Favorite fairy tales,,"Animated films, Animals Fiction, Childrens films, Foxes Fiction, Fairy tales Juvenile films",,
19,Physical,Horizon,BOOK,2005,9,3,99 more unuseless Japanese inventions the art of Chindogu,,Inventions Japan,,
20,Physical,Horizon,BOOK,2005,9,1,"Treasures of Swedish art, from pre-historic age to the 19th century, edited by Pontus Grate. Introd. by Carl Nordenfalk. [Translators: John E. Carbines, and others]",,Art Swedish History,Allhem,[1965]
21,Physical,Horizon,BOOK,2005,9,2,audience with an elephant and other encounters on the eccentric side,,"England Description and travel, Rogers Byron Travel England, Sunday telegraph London England",,
22,Physical,Horizon,SOUNDDISC,2005,9,3,last sessions,,Country music 1961 1970,,
23,Physical,Horizon,VIDEOCASS,2005,9,1,Eating,,"Video recordings for the hearing impaired, Feature films, Comedy films",,
24,Physical,Horizon,BOOK,2005,9,1,The history of the American guitar : from 1833 to the present day / by Tony Bacon.,"Bacon, Tony, 1954-","Guitar United States History, Guitar United States Pictorial works","Friedman/Fairfax Publishers : Distributed by Sterling Pub. Co.,",c2001.
25,Physical,Horizon,VIDEOCASS,2005,9,1,Fallout 1945,,"Nuclear reactors Safety measures, Nuclear accidents, Video recordings for the hearing impaired, Arms race History 20th century, Nucelar warfare History",,
26,Physical,Horizon,BOOK,2005,9,2,When cats reigned like kings on the trail of the sacred cats,,"Geyer Georgie Anne 1935, Cats History, Cats Religious aspects History, Cats Effects of human beings on",,
27,Physical,Horizon,VIDEODISC,2005,9,2,Ray Charles celebrates a gospel Christmas with the Voices of Jubilation,,"Gospel music, Christmas music",,
28,Physical,Horizon,BOOK,2005,9,1,Triceratops,,"Fossils, Paleontology, Triceratops, Dinosaurs, Triceratops Juvenile literature",,
29,Physical,Horizon,BOOK,2005,9,1,Oku no hosomichi tsuketari gendaigo yaku Sora zuiko nikki,,"Japan Description and travel, Japan Description and travel Early works to 1800, Matsuo Basho 1644 1694 Travel Japan, Sora 1649 1710 Travel Japan, Authors Japanese Edo period 1600 1868 Travel Japan",,
30,Physical,Horizon,VIDEOCASS,2005,9,43,Bend it like Beckham,,"Video recordings for the hearing impaired, Comedy films, Feature films, Women East Indian England Drama, Women soccer players England Drama",,
31,Physical,Horizon,BOOK,2005,9,1,Hardware hacking have fun while voiding your warranty,,"Computer input output equipment, Microcomputers Upgrading, Computer hackers, Reverse engineering, Microcomputers Maintenance and repair",,
32,Physical,Horizon,BOOK,2005,9,1,Sugar on snow / Nan Parson Rossiter.,"Rossiter, Nan Parson",Maple syrup New England Fiction,"Dutton Children's Books,",c2002.
33,Physical,Horizon,VIDEODISC,2005,9,3,Christmas glory from Westminster with Andrea Bocelli and Charlotte Church,,"Westminster Abbey, Christmas music Drama, Carols Drama",,
34,Physical,Horizon,SOUNDDISC,2005,9,4,I just wasnt made for these times,,"Rock music 1991 2000, Popular music 1991 2000",,
35,Physical,Horizon,BOOK,2005,9,8,Going to the potty / by Fred Rogers ; photographs by Jim Judkis.,"Rogers, Fred",Toilet training Juvenile literature,"Putnam,",c1986.
36,Physical,Horizon,VIDEOCASS,2005,9,3,witness,,"Animal welfare, Human animal relationships",,
37,Physical,Horizon,BOOK,2005,9,2,The song within my heart / paintings by Allen Sapp ; story by David Bouchard.,"Bouchard, Dave, 1952-","Indians of North America Juvenile fiction, Powwows Juvenile fiction, Grandmothers Juvenile fiction","Raincoast Books ; Publishers Group West,",2002.
38,Physical,Horizon,BOOK,2005,9,1,Queensland,,Queensland Guidebooks,,
39,Physical,Horizon,BOOK,2005,9,2,Stories of art / James Elkins.,"Elkins, James, 1955-","Art Historiography Methodology, Art criticism Historiography Methodology, Art Historiography Forecasting","Routledge,",2002.
40,Physical,Horizon,VIDEOCASS,2005,9,3,Feet of flames,,"Music videos, Folk dancing Irish, Folk music Ireland, Dance Ireland",,
41,Physical,Horizon,BOOK,2005,9,3,Contemporarys number power,,"Word problems Mathematics, Algebra Problems exercises etc, Mathematics Problems exercises etc, Geometry Problems exercises etc",,
42,Physical,Horizon,BOOK,2005,9,1,best worst day,,"Schools Fiction, Friendship Fiction",,
43,Physical,Horizon,BOOK,2005,9,1,All about agility / Jacqueline O'Neil.,"O'Neil, Jacqueline","Dogs Agility trials, Dogs Training","Howell Book House,",c1998.
44,Physical,Horizon,BOOK,2005,9,2,First words,,"English language Textbooks for foreign speakers, English language Study and teaching Foreign speakers Handbooks manuals etc",,
45,Physical,Horizon,MIXED,2005,9,2,ILLM ECRITS POLITIQUES,,,,
46,Physical,Horizon,BOOK,2005,9,3,Who came first : new clues to prehistoric Americans / Patricia Lauber.,"Lauber, Patricia","Indians Origin Juvenile literature, America Antiquities Juvenile literature, Archaeology Juvenile literature","National Geographic,",c2003.
47,Physical,Horizon,VIDEOCASS,2005,9,1,We remember Marilyn,,"Monroe Marilyn 1926 1962, Motion picture actors and actresses United States Biography",,
48,Physical,Horizon,BOOK,2005,9,13,Boris and Bella / Carolyn Crimi ; illustrated by Gris Grimly.,"Crimi, Carolyn","Monsters Juvenile fiction, Cleanliness Fiction, Friendship Fiction, Halloween Juvenile fiction","Harcourt,",2004.
