,BibNum,Title,Author,ISBN,PublicationYear,Publisher,Subjects,ItemType,ItemCollection,FloatingItem,ItemLocation,ReportDate,ItemCount
0,3186270,"Haikyu!!. Collection 2, episodes 14-25 [videorecording] / animation produced by Production I.G. ; directed by Susumu Mitsunaka ; DVD produced by John Ledford, David Del Rio.",,,[2015],"Sentai Filmworks,","High school students Drama, Volleyball players Drama, Television series, Anime Japan, Sports television programs, Fiction television programs",acdvd,nalndvd,Floating,wts,10/01/2017,1
1,2599591,On the Edge/ Illona Andrews.,"Andrews, Ilona","0441017800, 9780441017805",c2009.,"Ace Books,",Fantasy fiction,acbk,nasf,,bea,10/01/2017,1
2,2737188,Columbus : the four voyages / Laurence Bergreen.,"Bergreen, Laurence","1410441156, 9781410441157",2011.,"Thorndike Press,","Columbus Christopher Travel America, America Discovery and exploration Spanish, Explorers America Biography, Explorers Spain Biography",acbk,nalpnf,Floating,lcy,10/01/2017,1
3,2737711,"Hanukkah, oh Hanukkah / illustrated by Olga and Aleksey Ivanov.",,"076145845X, 9780761458456",2011.,"Marshall Cavendish Children,","Childrens songs Texts Juvenile fiction, Hanukkah Songs and music Juvenile fiction, Songs",jcbk,nchol,,qna,10/01/2017,1
4,3081757,"Selected ambient works, 85-92 [sound recording] / Aphex Twin.",Aphex Twin,,[201-?],"Apollo Records,","Popular music 1981 1990, Popular music 1991 2000, Electronic music, Ambient music",accd,nacd,Floating,hip,10/01/2017,1
5,2065099,Miller/Hull : architects of the Pacific Northwest / Sheri Olson ; foreword by David Miller and Robert Hull.,"Olson, Sherri, 1954-",1568982313,2001.,"Princeton Architectural Press,","Miller Hull Partnership Criticism and interpretation, Modern movement Architecture Northwest Pacific, Architecture Northwest Pacific History 20th century, Washington Authors Collection",acbk,canf,,cen,10/01/2017,2
6,2530659,The shining [videorecording] / Warner Bros. Pictures ; screenplay by Stanley Kubrick & Diane Johnson ; produced and directed by Stanley Kubrick ; produced in association with the Producer Circle Company.,,"1419814842, 9781419814846",[2007],"Distributed by Warner Home Video,","Hotelkeepers Drama, Ghost plays, Haunted hotels Colorado Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Horror films",acdvd,nadvd,Floating,bal,10/01/2017,1
7,2118960,"H.R. 656-- the High-Performance Computing Act of 1991 : hearing before the Subcommittee on Science and the Subcommittee on Technology and Competitiveness of the Committee on Science, Space, and Technology, U.S. House of Representatives, One Hundred Second Congress, first session, March 7, 1991.",,,1991.,"U.S. G.P.O. : For sale by the Supt. of Docs., Congressional Sales Office, U.S. G.P.O.,","Computers Law and legislation United States, Computer networks Law and legislation United States, Supercomputers Law and legislation United States",acbk,canf,,cen,10/01/2017,1
8,2489318,Vozvrashchenie faraona / Kristian Zhak ; [per. s fr. N.K. Garbovskogo ... et al.].,"Jacq, Christian","5818910784, 9785818910789",2007.,"Geleos,",Egypt History To 332 B C Fiction,acbk,caln,,cen,10/01/2017,1
9,327740,Directory of national private organizations with civil rights programs.,United States Commission on Civil Rights.,,[1966?],,Civil rights Societies etc Directories,arbk,cs6r,,cen,10/01/2017,1
10,2458249,Sardine in outer space. 4 / stories by Emmanuel Guibert ; pictures by Joann Sfar ; color by Walter Pezzali ; translation by Edward Gauvin.,"Guibert, Emmanuel","1596431296, 9781596431294",c2007.,"First Second,","Children Conduct of life Comic books strips etc, Space flight Comic books strips etc, Cartoons and comics, Science fiction comic books strips etc, Graphic novels",jcbk,nccomic,,wts,10/01/2017,1
11,2335572,Town & country modern manners : the thinking person's guide to social graces / edited by Thomas P. Farley.,,1588164543,c2005.,"Hearst Books,",Etiquette,acbk,canf,,cen,10/01/2017,1
12,2147096,The Olympic Peninsula : its grace and grandeur / Mike Sedam.,"Sedam, Mike",0896584585,c2002.,"Voyageur Press,","Olympic Peninsula Wash Pictorial works, Olympic Peninsula Wash Description and travel, Olympic Peninsula Wash Guidebooks, Washington Authors Collection",acbk,canf,,cen,10/01/2017,1
13,2669894,Bugs Bunny's howl-oween special [videorecording].,,"1419890492, 9781419890499",[2010],"Warner Home Video,","Bugs Bunny Fictitious character Juvenile fiction, Daffy Duck Fictitious character Juvenile fiction, Porky Pig Fictitious character Juvenile fiction, Sylvester Fictitious character Juvenile fiction, Tweety Pie Fictitious character Juvenile fiction, Halloween Juvenile fiction, Childrens films, Animated films",jcdvd,nchol,,wts,10/01/2017,2
14,2636885,Daphnis et Chloé [sound recording] / Maurice Ravel.,"Ravel, Maurice, 1875-1937",,p2008.,"BSO Classics,","Ballets, Orchestral music",accd,cacd,,cen,10/01/2017,1
15,3136707,"Fresh dressed [videorecording] / CNN Films ; a Mass Appeal production ; director, Sacha Jenkins ; producers, Peter Bittenbender, Nasir Jones, Marcus A. Clarke.",,,c2015.,"Distributed by Samuel Goldwyn Films,","Fashion, Hip hop Influence, Rap Music Influence, Documentary films, Nonfiction films, Video recordings for the hearing impaired",acdvd,nadvdnf,Floating,uni,10/01/2017,1
16,598667,"Proposals to extend Medicare coverage to the near-elderly : hearing before the Subcommittee on Health of the Committee on Ways and Means, House of Representatives, One Hundred Second Congress, first Congress, first session, March 19, 1991.",United States. Congress. House. Committee on Ways and Means. Subcommittee on Health,,1991.,"U.S. G.P.O. : For sale by the Supt. of Docs., Congressional Sales Office, U.S. G.P.O.,","Medicare, Medically uninsured persons United States, Retirees Medical care United States, Social security beneficiaries Medical care United States",acbk,canf,,cen,10/01/2017,1
17,1915512,"Zhongguo da bai ke quan shu. Di zhi xue / Zhongguo da bai ke quan shu zong bian ji wei yuan hui ""Di zhi xue"" bian ji wei yuan hui, Zhongguo da bai ke quan shu chu ban she bian ji bu bian.",,7500059752,1992,"Zhongguo da bai ke quan shu chu ban she,","Encyclopedias and dictionaries Chinese, Geology Encyclopedias, Geology China Encyclopedias",arbk,calnr,,cen,10/01/2017,1
18,1605332,Report of operations / Washington State Liquor Control Board.,Washington State Liquor Control Board,,,"The Board,","Washington State Liquor Control Board Periodicals, Alcoholic beverage industry Washington State Statistics Periodicals, License system Washington State Statistics Periodicals",arbk,caref,,cen,10/01/2017,3
19,2633539,"In jail, Ms. Wiz? / by Terence Blacker ; illustrations by Tony Ross.","Blacker, Terence","0761455566, 9780761455561",2010.,"Marshall Cavendish Children,","Cats Juvenile fiction, Magic Fiction, Robbers and outlaws Fiction",jcbk,ncef,,net,10/01/2017,1
20,2496020,Fever / Bill Pronzini.,"Pronzini, Bill","0765318180, 9780765318183",2008.,"Forge,","Nameless Detective Fictitious character Fiction, Private investigators California San Francisco Fiction, Missing persons Fiction, Gambling Fiction, San Francisco Calif Fiction, Mystery fiction",acbk,namys,Floating,rbe,10/01/2017,1
21,1769134,The Seven Gods of Luck / by David Kudler ; illustrated by Linda Finch.,"Kudler, David",0395788307,1997.,"Houghton Mifflin Co.,","Seven gods of fortune Juvenile fiction, Brothers and sisters Fiction, Japan Juvenile fiction",jcbk,cchol,,cen,10/01/2017,1
22,2801068,The essential urban farmer / Novella Carpenter and Willow Rosenthal.,"Carpenter, Novella, 1972-","0143118714, 9780143118718",2011.,"Penguin Books,",Urban agriculture,acbk,nanf,,net,10/01/2017,1
23,2946453,The mammoth book of prison breaks / Paul Simpson.,"Simpson, Paul, 1963-","0762449403, 9780762449408",2013.,"Running Press,","Escapes History, Fugitives from justice History",acbk,canf,,cen,10/01/2017,2
24,2623897,"Mrs. Doubtfire [videorecording] / Twentieth Century Fox ; a Blue Wolf production ; produced by Marsha Garces Williams, Robin Williams and Mark Radcliffe ; screenplay by Randi Mayem Singer and Leslie Dixon ; directed by Chris Columbus.",,,[2007],"20th Century Fox Home Entertainment,","Housekeepers Drama, Divorced fathers Drama, Man woman relationships California Drama, San Francisco Calif Drama, Feature films, Fiction films, Video recordings for the hearing impaired, Comedy films",acdvd,nadvd,Floating,bea,10/01/2017,1
25,2286710,Cork & Fuzz / by Dori Chaconas ; illustrated by Lisa McCue.,"Chaconas, Dori, 1938-",9780670036028,2005.,"Viking,","Opossums Juvenile fiction, Muskrat Juvenile fiction, Friendship Fiction",jcbk,ncrdr,Floating,dth,10/01/2017,1
26,1979262,Tattoos from paradise : traditional Polynesian patterns / Mark Blackburn.,"Blackburn, Mark (Mark A.)",0764309412,c1999.,"Schiffer,","Tattooing Polynesia, Polynesia Social life and customs",arbk,cs7ro,,cen,10/01/2017,1
27,3177840,The Underground Railroad : a novel / Colson Whitehead.,"Whitehead, Colson, 1969-","0385542364, 9780385542364",[2016],"Doubleday,","Underground Railroad Fiction, Fugitive slaves United States Fiction, United States History 19th century Fiction, Historical fiction",acbk,nafic,,col,10/01/2017,2
28,2743053,Culinary Vietnam / Daniel Hoyer ; [photographs by Aidan Dockery and Marty Snortum].,"Hoyer, Daniel","1423603206, 9781423603207",c2009.,"Gibbs Smith,",Cooking Vietnamese,acbk,nanf,,fre,10/01/2017,1
29,3013833,The unfinished life of Addison Stone / Adele Griffin.,"Griffin, Adele","1616953608, 9781616953607",[2014],"Soho Teen,","Artists Fiction, Celebrities Fiction, New York N Y Fiction, Mystery fiction, Young adult fiction",acbk,nyfic,,gwd,10/01/2017,1
30,3222061,A widow for one year : a novel / John Irving.,"Irving, John, 1942-","0345424719, 9780345424716","2009, ©1998.","Ballantine Books,","Death Fiction, Grief Fiction, Novelists Fiction, Romance fiction",acbk,nafic,,lcy,10/01/2017,1
31,2930243,Restaurants and bars / Judy Shepard.,"Shepard, Judy","0982612885, 9780982612880",c2012.,"RSD Publishing,","Restaurants Decoration, Bars Drinking establishments Decoration",acbk,canf,,cen,10/01/2017,2
32,3172903,"Dreams of a great small nation : the mutinous army that threatened a revolution, destroyed an empire, founded a republic, and remade the map of Europe / Kevin J. McNamara.","McNamara, Kevin J.","1610394844, 9781610394840, 9781610394857",2016,"PublicAffairs,","Czech Republic History, Slovakia History, Czechoslovakia History 1918 1938, Soviet Union History Allied intervention 1918 1920",acbk,nanf,,dth,10/01/2017,1
33,2670950,Mathematics 1001 : absolutely everything that matters in mathematics in 1001 bite-sized explanations / Richard Elwes.,"Elwes, Richard, 1978-","1554077192, 9781554077199",c2010.,"Firefly Books,",Mathematics Popular works,acbk,nanf,,dth,10/01/2017,1
34,1702571,"Geologic map of the Crater section of Haleakala National Park, Maui, Hawaii [cartographic material] / Department of the Interior, United States Geological Survey ; by Gordon A. Macdonald.",Geological Survey (U.S.),,1978.,"The Survey ; For sale by Branch of Distribution,",Geology Hawaii Haleakala National Park Maps,acbk,canf,,cen,10/01/2017,1
35,3138986,The Hueys in What's the opposite? / Oliver Jeffers.,"Jeffers, Oliver","0399257705, 9780399257704",2016.,"Philomel Books,","English language Synonyms and antonyms Juvenile fiction, English language Synonyms and antonyms Fiction",jcbk,ncpic,,bea,10/01/2017,1
36,2687464,Wicked nights with a lover / Sophie Jordan.,"Jordan, Sophie","0061579238, 9780061579233",c2010.,"Avon Books,","Love stories, Historical fiction",acbk,cafic,,cen,10/01/2017,1
37,2771831,Damn Yankees : twenty-four major league writers on the world's most loved (and hated) team / edited by Rob Fleder.,,"0062059629, 9780062059628",c2012.,"Ecco,","New York Yankees Baseball team History 20th century, Baseball History",acbk,nanf,,cap,10/01/2017,1
38,221909,"Port Haven, a changing northwestern community.","Anastasio, Angelo, 1914-",,1960.,,Northwest Pacific Social conditions Case studies,acbk,canf,,cen,10/01/2017,1
39,2233342,More math games & activities from around the world / Claudia Zaslavsky.,"Zaslavsky, Claudia",155652501X,c2003.,"Chicago Review Press,","Mathematical recreations Juvenile literature, Games Juvenile literature",jcbk,ncenf,,bro,10/01/2017,1
40,390337,The Long March : the untold story / Harrison E. Salisbury.,"Salisbury, Harrison E. (Harrison Evans), 1908-1993",0060390441,c1985.,"Harper & Row,",China History Long March 1934 1935,acbk,canf,,cen,10/01/2017,1
41,3228764,"Locating places / Mazzarella Bros. Productions Inc. ; script, Tony Mazzarella ; director, Mark Mazzarella.",,,[2015],"Wonderscape Entertainment, LLC,","Map reading Juvenile films, Educational films, Childrens films, Nonfiction films",jcdvd,ncdvdnf,Floating,net,10/01/2017,1
42,3285100,The walking dead. The complete seventh season / AMC.,,,[2017],"Anchor Bay Entertainment : Lionsgate,","Zombies Drama, Sheriffs Drama, Viruses Drama, Survivalism Drama, Television series, Fiction television programs, Zombie television programs, Horror television programs, Fantasy television programs, Thrillers Television programs, Video recordings for the hearing impaired",acdvd,cadvd,,cen,10/01/2017,9
43,3081803,"Life itself [videorecording] / Magnolia Pictures, CNN Films presents a Kartemquin Films and Film Rites production in association with KatLei Productions ; directed by Steve James ; produced by Zak Piper, Steve James, Garrett Basch.",,,c2015.,"Distributed by Magnolia Home Entertainment,","Ebert Roger, Film critics United States Biography, Journalists United States Biography, Biographical films, Documentary films, Film adaptations, Nonfiction films, Video recordings for the hearing impaired",acdvd,nadvdnf,Floating,rbe,10/01/2017,1
44,2663173,Mr. President goes to school / written by Rick Walton ; illustrated by Brad Sneed.,"Walton, Rick","1561455385, 9781561455386",2010.,"Peachtree,","Kindergarten Juvenile fiction, Schools Fiction, Presidents Juvenile fiction, Humorous stories",jcbk,ncpic,,swt,10/01/2017,1
45,2935714,"El alquimista : una fàbula para seguir tus sueños / Paulo Coelho, [traducción de Juan Godo Costa].","Coelho, Paulo",9780062511409,2002.,"Rayo : HarperCollins,","Alchemists Fiction, Shepherds Spain Andalusia Fiction, Andalusia Spain Fiction",acbk,naln,,spa,10/01/2017,1
46,2489968,The Grand Archives [sound recording] / Grand Archives.,Grand Archives (Musical group),,2008.,"Sub Pop Records,",Rock music 2001 2010,accd,nacd,Floating,rbe,10/01/2017,1
47,2188124,"Scooby-Doo and the reluctant werewolf [videorecording] / Hanna-Barbera ; producer, Berny Wolf ; written by Jim Ryan ; supervising director, Ray Patterson.",,"156039739X, 9781560397397",c2002.,"Warner Bros. Family Entertainment,","Scooby Doo Fictitious character Juvenile drama, Werewolves Juvenile drama, Racetracks Automobile racing Juvenile drama, Monsters Juvenile drama, Dracula Count Fictitious character Juvenile drama, Made for TV movies, Animated television programs, Childrens television programs, Fiction television programs, Fantasy television programs, Video recordings for the hearing impaired",jcdvd,ncdvd,Floating,swt,10/01/2017,2
48,3296543,"Sing, unburied, sing : a novel / Jesmyn Ward.","Ward, Jesmyn","1501126067, 1501126075, 9781501126062, 9781501126079",2017.,"Scribner,","African American families Fiction, Mississippi Fiction",acbk,nafic,,hip,10/01/2017,1
49,1830704,Three tales of my father's dragon / by Ruth Stiles Gannett ; illustrated by Ruth Chrisman Gannett.,"Gannett, Ruth Stiles","0679889116, 0679989110",c1998.,"Random House,",Dragons Juvenile fiction,jcbk,ncfic,,gwd,10/01/2017,1
50,3126990,Los animales [sound recording] / Mister G.,Mister G.,,[2015],"Coil Records,","Childrens songs Juvenile sound recordings, Childrens songs Spanish Juvenile sound recordings, Animals Songs and music Juvenile sound recordings, Songs",jccd,nccd,Floating,spa,10/01/2017,1
51,2454974,"El Topo [videorecording] / ABKCO Films ; Producciones Panic ; productor, Roberto Viskin ; escrita y dirigida por Alexandro Jodorowsky.",,,[2007],"ABKCO Films ; Distributed by Anchor Bay Entertainment,","Massacres Drama, Revenge Drama, Brigands and robbers Drama, Mexico Drama, Feature films, Fiction films, Western films, Motion pictures Spanish, Video recordings for the hearing impaired",acdvd,nalndvd,Floating,cap,10/01/2017,1
52,3093474,"Sex (ed) [videorecording] : the movie / BGoodmanProductions ; written, produced, and directed by Brenda Goodman ; co-producer, Caitlin Krapf.",,,"[2015], 2014.","First Run Features,","Sex instruction United States History, Sex instruction, Sex Social aspects United States, Documentary films, Historical films, Nonfiction films",acdvd,cadvdnf,,cen,10/01/2017,1
53,2841657,Seahorses / Jennifer Keats Curtis ; illustrated by Chad Wallace.,"Curtis, Jennifer Keats","0805092390, 9780805092394",2012.,"Henry Holt,",Sea horses Juvenile literature,jcbk,ncenf,,bro,10/01/2017,1
54,3177213,Home coffee roasting : romance & revival / Kenneth Davids.,"Davids, Kenneth, 1937-","0312312199, 9780312312190",©2003.,"St. Martin's Griffin,","Coffee, Coffee Processing, Coffee brewing",acbk,canf,,cen,10/01/2017,2
55,3015506,The book of life [sound recording] : a novel / Deborah Harkness.,"Harkness, Deborah E., 1965-","1611762669, 9781611762662",p2014.,"Penguin Audio,","Witches Fiction, Vampires Fiction, Fantasy fiction, Audiobooks",accd,nabocd,Floating,dth,10/01/2017,1
56,3019543,"A short history of decay [videorecording] / ARC Entertainment ; Big Fan Films ; producer, Alfred Theodore Sapse ; written and directed by Michael Maren.",,,[2014],"ARC Entertainment,","Authors Drama, Alzheimers disease Drama, Cerebrovascular disease Patients Drama, Brooklyn New York N Y Drama, Comedy films, Feature films, Fiction films, Video recordings for the hearing impaired",acdvd,nadvd,Floating,mag,10/01/2017,1
57,512426,The Virago book of ghost stories / edited by Richard Dalby ; with an introduction by Jennifer Uglow.,,"0070151326, 0070151334","1989, c1987.","McGraw-Hill,","Ghost stories English Women authors, Ghost stories American Women authors, Women and literature",acbk,cass,,cen,10/01/2017,1
58,2875643,The emotional eater's repair manual : a practical mind-body-spirit guide for putting an end to overeating and dieting / Julie M. Simon.,"Simon, Julie M., 1956-","1608681513, 9781608681518",p2012.,"New World Library,","Eating disorders Psychological aspects, Diet Psychological aspects, Nutrition",acbk,canf,,cen,10/01/2017,2
59,1617469,"Values of art : pictures, poetry and music / Malcolm Budd.","Budd, Malcolm, 1941-",0713990260,1995.,"Allen Lane, Penguin Press,","Art Philosophy, Aesthetics, Art criticism",acbk,canf,,cen,10/01/2017,1
60,2970286,A trader's first book on commodities : an introduction to the world's fastest growing market / Carley Garner.,"Garner, Carley, 1977-","013324783X, 9780133247831",c2013.,"FT Press,","Commodity futures, Commodity options, Commodity exchanges, Investment analysis",acbk,nanf,,net,10/01/2017,1
61,1601965,Musume ni kataru sokoku / Tsuka Kōhei.,"Tsuka, Kōhei",4334051782,1990.,"Kōbunsha,","Tsuka Kohei, Authors Japanese 20th century Biography",acbk,caln,,cen,10/01/2017,1
62,3278547,Drop the beat! / by David Lewman ; illustrated by Fabio Laguna and Gabriella Matta.,"Lewman, David","1524718424, 1524718432, 9781524718428, 9781524718435",[2017],"Random House Children's Books, a division of Penguin Random House LLC,","Trolls Juvenile fiction, Music Juvenile fiction, Friendship Juvenile fiction, Trolls Fiction, Music Fiction, Friendship Fiction, Lost and found possessions Fiction, Readers Publications",jcbk,ccrdr,,mob,10/01/2017,1
